,country,city,palace
0,INDIA,AGRA,The Gateway Hotel Fatehabad Road
1,INDIA,AJMER,THE GATEWAY RESORT
2,INDIA,AMRITSAR,Taj Swarna
3,INDIA,AURANGABAD,"VIVANTA BY TAJ,AURANGABAD"
4,INDIA,BAGHVAN,"Baghvan, A Taj Safari Lodge , Pench National Park"
5,INDIA,BANDHAVGARH,"Mahua Kothi, A Taj Safari Lodge , Bandhavgarh National Park"
6,INDIA,BANGALORE,Taj Bangalore
7,INDIA,BANGALORE,The Taj West End
8,INDIA,BANGALORE,Vivanta by Taj MG Road
9,INDIA,BANGALORE,"Vivanta by Taj , Whitefield"
10,INDIA,BANGALORE,"Vivanta by Taj , Yeshwantpur"
11,INDIA,BANGALORE,The Gateway Hotel Residency Road
12,INDIA,BANJAAR TOLA,"Banjaar Tola, A Taj Safari Lodge , Kanha National Park"
13,INDIA,BEKAL,"Vivanta By Taj , Bekal"
14,INDIA,CALICUT,The Gateway Hotel Beach Road
15,INDIA,CHANDIGARH,Taj Chandigarh
16,INDIA,CHENNAI,Taj Coromandel
17,INDIA,CHENNAI,Taj Club House
18,INDIA,CHENNAI,"Vivanta by Taj , Connemara"
19,INDIA,CHENNAI,"Vivanta by Taj , Fisherman's Cove"
20,INDIA,CHENNAI,The Gateway Hotel IT Expressway
21,INDIA,CHIKMAGALUR,The Gateway Hotel KM Road
22,INDIA,COCHIN,"Vivanta by Taj , Malabar"
23,INDIA,COIMBATORE,"Vivanta by Taj , Surya"
24,INDIA,COONOOR,The Gateway Hotel Church Road
25,INDIA,COORG,"Vivanta by Taj , Madikeri"
26,INDIA,ERNAKULAM,The Gateway Hotel Marine Drive
27,INDIA,GIR FOREST,The Gateway Hotel Gir Forest
28,INDIA,GOA,Taj Exotica
29,INDIA,GOA,"Vivanta by Taj , Fort Aguada"
30,INDIA,GOA,"Vivanta by Taj , Holiday Village"
31,INDIA,GOA,"Vivanta by Taj , Panaji"
32,INDIA,GONDIA,The Gateway Hotel Balaghat Road
33,INDIA,GURGAON,"Vivanta by Taj , NCR"
34,INDIA,GURGAON,The Gateway Resort Damdama Lake
35,INDIA,GUWAHATI,"Vivanta by Taj , Guwahati"
36,INDIA,GWALIOR,Usha Kiran Palace
37,INDIA,HYDERABAD,Taj Falaknuma Palace
38,INDIA,HYDERABAD,Taj Krishna
39,INDIA,HYDERABAD,Taj Deccan
40,INDIA,HYDERABAD,"Vivanta by Taj , Begumpet"
41,INDIA,HYDERABAD,Taj Banjara
42,INDIA,JAIPUR,Jai Mahal Palace
43,INDIA,JAIPUR,Rambagh Palace
44,INDIA,JAIPUR,SMS Hotel
45,INDIA,JAIPUR,The Gateway Hotel Ramgarh Lodge
46,INDIA,JIM CORBETT,The Gateway Resort Corbett
47,INDIA,JODHPUR,Umaid Bhawan Palace
48,INDIA,JODHPUR,"Vivanta by Taj , Hari Mahal"
49,INDIA,KHAJURAHO,"Hotel Chandela, Khajuraho"
50,INDIA,KOLKATA,Taj Bengal
51,INDIA,KOLKATA,The Gateway Hotel EM Bypass
52,INDIA,KOVALAM,Vivanta by Taj Green Cove
