,end_char,label,name,start_char,text
0,33,FAC,Lake Palace,22,Please book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
1,72,DATE,December 2018,59,Please book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
2,101,DATE,January 2019,89,Please book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
3,33,FAC,Lake Palace,22,Kindly book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
4,72,DATE,December 2018,59,Kindly book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
5,101,DATE,January 2019,89,Kindly book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
6,2,ORG,  ,0,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
7,12,PERSON,Rohit,7,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
8,16,PERSON,  ,14,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
9,79,CARDINAL,02,77,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
10,116,ORG,Taj Gateway Ganges,98,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
11,127,CARDINAL,24/26,122,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
12,141,DATE,December 2018,128,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
13,156,DATE,two nights,146,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
14,48,PERSON,Taj,45," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
15,86,CARDINAL,101015421297,74," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
16,128,FAC,Taj Palace Hotel,112," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
17,144,DATE,17/12/2018,134," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
18,159,DATE,two nights,149," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
19,185,PERSON,Taj Swarna,175," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
20,197,GPE,Amritsar,189," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
21,239,FAC,Taj Fort Aguada Goa,220," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
22,264,PERSON,Amrit Singh,253," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
23,274,PERSON,Taj,271," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
24,2,ORG,  ,0,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
25,104,FAC,Hotel/Resort,92,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
26,162,ORG,TEHP/18/12809,149,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
27,188,PERSON,Arun Gadamshetty P,170,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
28,201,CARDINAL,153021,195,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
29,214,ORG,Department :,202,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
30,246,ORG,Spares Manufacturing Department,215,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
31,286,GPE,Vivanta,279,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
32,304,ORG,Taj - Madikeri,290,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
