end_char,label,name,start_char,text
33,FAC,lake palace,22,Please book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
33,FAC,lake palace,22,Kindly book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
72,DATE,31st December 2018,59,Please book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
101,DATE,1st January 2019,85,Please book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
72,DATE,31st December 2018,54,Kindly book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
101,DATE,1st January 2019,85,Kindly book a room at lake palace  Check in date is - 31st December 2018 check out - 1st January 2019
116,ORG,Taj Gateway Ganges,98,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
141,DATE,24/26 December 2018,122,"  Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.  "
144,DATE,17/12/2018,134," Dear Sir/Madam     Re: change booking under Taj inner circle membership: 101015421297     I booked  to stay at Taj Palace Hotel from 17/12/2018 for two nights, then we go to Taj Swarna in Amritsar and following that in Taj Fort Aguada Goa. My Husband (Amrit Singh) is a Taj inner circle member is travelling with me. I did the following reservation in General category . Please change my booking under membership category under his name and apply the membership discount. It will be appreciated.  "
162,CARDINAL,TEHP/18/12809,149,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
188,PERSON,Arun Gadamshetty P,170,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
201,CARDINAL,153021,195,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
