,Entity,end_char,label,start_char,text,Target
0,Rohit,10,PERSON,5,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
1,02 Executive room,92,PRODUCT,75,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
2,Taj Gateway Ganges,114,ORG,96,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
3,24/26 December 2018,139,DATE,120,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
4,two nights,154,DATE,144,"Dear Rohit,   As per our conversation a while ago, please book and confirm 02 Executive room at Taj Gateway Ganges from 24/26 December 2018 for two nights.",TRUE
5,Agnes,8,PERSON,3,"Hi Agnes,   I have not received a response to this email as yet.",TRUE
6,Hotel/Resort,102,FAC,90,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
7,TEHP/18/12809,160,CARDINAL,147,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
8,"
Arun Gadamshetty",185,PERSON,169,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
9,"
Spares Manufacturing Department",245,ORG,214,"As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department ",TRUE
10,"
Vivanta",40,PERSON,33,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
11,Taj - Madikeri Coorg,64,ORG,44,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
12,Coorg,63,GPE,58,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
13,"Coorg
Room Type",80,ORG,65,"Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check",TRUE
14,10-Dec-18,24,DATE,15,In Date-Time : 10-Dec-18 02:00 PM Check Out,TRUE
15,"02:00 PM
",36,TIME,27,In Date-Time : 10 Dec 2018 02:00 PM Check Out,TRUE
16,12-Dec-18,21,DATE,12,Date-Time : 12-Dec-18 12:00 PM ,TRUE
17,"12:00 PM
",33,TIME,24,Date-Time : 12 Dec 2018 12:00 PM ,TRUE
18,1,15,CARDINAL,14,No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  ,TRUE
19,Honeymoon trip,58,WORK_OF_ART,44,No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  ,TRUE
20,Arun Gadamshetty,23,PERSON,7,Name : Arun Gadamshetty  ,TRUE
21,SHWETA GADAMSHETTY,18,GPE,0,SHWETA GADAMSHETTY,TRUE
